crop,yield,rainfall,temperature
Rice,13198,1010,24.79
Sorghum,3400,1010,24.79
Soybeans,2857,1010,24.79
Spotatoes,42190,1010,24.79
Wheat,15455,1010,24.79
Cassava,125605,1010,24.22
Maize,5404,1010,24.22
Potatoes,20150,1010,24.22
Rice,11584,1010,24.22
Sorghum,3333,1010,24.22
Soybeans,3600,1010,24.22
Spotatoes,45360,1010,24.22
Wheat,12442,1010,24.22
Cassava,117628,1010,24.41
Maize,6736,1010,24.41
Potatoes,23646,1010,24.41
Rice,6977,1010,24.41
Sorghum,3333,1010,24.41
Soybeans,3793,1010,24.41
Spotatoes,46159,1010,24.41
Wheat,10946,1010,24.41
Cassava,117201,1010,24.14
Maize,4687,1010,24.14
Potatoes,52148,1010,24.14
Rice,4947,1010,24.14
Sorghum,4091,1010,24.14
Soybeans,4286,1010,24.14
Spotatoes,44240,1010,24.14
Wheat,10000,1010,24.14
Cassava,115387,1010,24.24
Maize,5091,1010,24.24
Potatoes,62138,1010,24.24
Rice,5143,1010,24.24
Sorghum,4031,1010,24.24
Soybeans,6883,1010,24.24
Spotatoes,58855,1010,24.24
Wheat,10000,1010,24.24
Cassava,148084,1010,24.27
Maize,7946,1010,24.27
Potatoes,85085,1010,24.27
Rice,5084,1010,24.27
Sorghum,929,1010,24.27
Soybeans,8575,1010,24.27
Spotatoes,65437,1010,24.27
Wheat,10000,1010,24.27
Cassava,151759,1010,24.33
Maize,6614,1010,24.33
Potatoes,86509,1010,24.33
Rice,6028,1010,24.33
Sorghum,2480,1010,24.33
Soybeans,4449,1010,24.33
Spotatoes,66475,1010,24.33
Wheat,10000,1010,24.33
Cassava,155782,1010,24.44
Maize,7200,1010,24.44
Potatoes,87425,1010,24.44
Rice,7403,1010,24.44
Sorghum,2814,1010,24.44
Soybeans,4446,1010,24.44
Spotatoes,63001,1010,24.44
Wheat,10526,1010,24.44
Cassava,133649,1010,24.15
Maize,7376,1010,24.15
Potatoes,81366,1010,24.15
Rice,8914,1010,24.15
Sorghum,3320,1010,24.15
Soybeans,5294,1010,24.15
Spotatoes,65512,1010,24.15
Wheat,10959,1010,24.15
Cassava,100073,1010,24.24
Maize,7770,1010,24.24
Potatoes,69381,1010,24.24
Rice,7703,1010,24.24
Sorghum,998,1010,24.24
Soybeans,1641,1010,24.24
Spotatoes,52954,1010,24.24
Wheat,11258,1010,24.24
Cassava,140517,1010,24.55
Maize,9467,1010,24.55
Potatoes,63303,1010,24.55
Rice,12744,1010,24.55
Sorghum,2415,1010,24.55
Soybeans,4405,1010,24.55
Spotatoes,73409,1010,24.55
Wheat,9022,1010,24.55
Cassava,100000,591,17.46
Cassava,100000,591,17.67
Maize,34608,591,17.46
Maize,34608,591,17.67
Potatoes,202747,591,17.46
Potatoes,202747,591,17.67
Rice,36709,591,17.46
Rice,36709,591,17.67
Sorghum,28116,591,17.46
Sorghum,28116,591,17.67
Soybeans,21566,591,17.46
Soybeans,21566,591,17.67
Spotatoes,131864,591,17.46
Spotatoes,131864,591,17.67
Wheat,18947,591,17.46
Wheat,18947,591,17.67
Cassava,100000,591,17.64
Cassava,100000,591,17.86
Maize,40444,591,17.64
Maize,40444,591,17.86
Potatoes,205692,591,17.64
Potatoes,205692,591,17.86
Rice,40294,591,17.64
Rice,40294,591,17.86
Sorghum,33320,591,17.64
Sorghum,33320,591,17.86
Soybeans,22750,591,17.64
Soybeans,22750,591,17.86
Spotatoes,131364,591,17.64
Spotatoes,131364,591,17.86
Wheat,18972,591,17.64
Wheat,18972,591,17.86
Cassava,100000,591,17.09
Cassava,100000,591,17.51
Maize,45237,591,17.09
Maize,45237,591,17.51
Potatoes,199039,591,17.09
Potatoes,199039,591,17.51
Rice,52075,591,17.09
Rice,52075,591,17.51
Sorghum,36217,591,17.09
Sorghum,36217,591,17.51
Soybeans,22915,591,17.09
Soybeans,22915,591,17.51
Spotatoes,127273,591,17.09
Spotatoes,127273,591,17.51
Wheat,21809,591,17.09
Wheat,21809,591,17.51
Cassava,100000,591,17.32
Cassava,100000,591,17.53
Maize,43552,591,17.32
Maize,43552,591,17.53
Potatoes,210314,591,17.32
Potatoes,210314,591,17.53
Rice,43559,591,17.32
Rice,43559,591,17.53
Sorghum,39529,591,17.32
Sorghum,39529,591,17.53
Soybeans,21589,591,17.32
Soybeans,21589,591,17.53
Spotatoes,122955,591,17.32
Spotatoes,122955,591,17.53
Wheat,23272,591,17.32
Wheat,23272,591,17.53
Cassava,100000,591,18.17
Cassava,100000,591,18.31
Maize,42371,591,18.17
Maize,42371,591,18.31
Potatoes,230166,591,18.17
Potatoes,230166,591,18.31
Rice,42989,591,18.17
Rice,42989,591,18.31
Sorghum,35065,591,18.17
Sorghum,35065,591,18.31
Soybeans,20386,591,18.17
Soybeans,20386,591,18.31
Spotatoes,176667,591,18.17
Spotatoes,176667,591,18.31
Wheat,20237,591,18.17
Wheat,20237,591,18.31
Cassava,100000,591,17.74
Cassava,100000,591,17.62
Maize,45223,591,17.74
Maize,45223,591,17.62
Potatoes,274272,591,17.74
Potatoes,274272,591,17.62
Rice,50306,591,17.74
Rice,50306,591,17.62
Sorghum,34588,591,17.74
Sorghum,34588,591,17.62
Soybeans,20446,591,17.74
Soybeans,20446,591,17.62
Spotatoes,168000,591,17.74
Spotatoes,168000,591,17.62
Wheat,21675,591,17.74
Wheat,21675,591,17.62
Cassava,100000,591,17.64
Cassava,100000,591,17.97
Maize,40397,591,17.64
Maize,40397,591,17.97
Potatoes,228877,591,17.64
Potatoes,228877,591,17.97
Rice,51031,591,17.64
Rice,51031,591,17.97
Sorghum,38763,591,17.64
Sorghum,38763,591,17.97
Soybeans,21051,591,17.64
Soybeans,21051,591,17.97
Spotatoes,170000,591,17.64
Spotatoes,170000,591,17.97
Wheat,19344,591,17.64
Wheat,19344,591,17.97
Cassava,100000,591,18.29
Cassava,100000,591,18.54
Maize,45557,591,18.29
Maize,45557,591,18.54
Potatoes,268502,591,18.29
Potatoes,268502,591,18.54
Rice,53703,591,18.29
Rice,53703,591,18.54
Sorghum,36845,591,18.29
Sorghum,36845,591,18.54
Soybeans,17212,591,18.29
Soybeans,17212,591,18.54
Spotatoes,145662,591,18.29
Spotatoes,145662,591,18.54
Wheat,22426,591,18.29
Wheat,22426,591,18.54
Cassava,100000,591,17.23
Cassava,100000,591,17.52
Maize,60780,591,17.23
Maize,60780,591,17.52
Potatoes,293744,591,17.23
Potatoes,293744,591,17.52
Rice,47762,591,17.23
Rice,47762,591,17.52
Sorghum,48105,591,17.23
Sorghum,48105,591,17.52
Soybeans,26937,591,17.23
Soybeans,26937,591,17.52
Spotatoes,175055,591,17.23
Spotatoes,175055,591,17.52
Wheat,26088,591,17.23
Wheat,26088,591,17.52
Cassava,100000,591,17.15
Cassava,100000,591,17.71
Maize,53702,591,17.15
Maize,53702,591,17.71
Potatoes,238938,591,17.15
Potatoes,238938,591,17.71
Rice,57337,591,17.15
Rice,57337,591,17.71
Sorghum,43845,591,17.15
Sorghum,43845,591,17.71
Soybeans,24450,591,17.15
Soybeans,24450,591,17.71
Spotatoes,143991,591,17.15
Spotatoes,143991,591,17.71
Wheat,23028,591,17.15
Wheat,23028,591,17.71
Cassava,100000,591,16.98
Cassava,100000,591,17.66
Maize,54329,591,16.98
Maize,54329,591,17.66
Potatoes,277566,591,16.98
Potatoes,277566,591,17.66
Rice,47798,591,16.98
Rice,47798,591,17.66
Sorghum,46477,591,16.98
Sorghum,46477,591,17.66
Soybeans,23312,591,16.98
Soybeans,23312,591,17.66
Spotatoes,151462,591,16.98
Spotatoes,151462,591,17.66
Wheat,24873,591,16.98
Wheat,24873,591,17.66
Cassava,100000,591,17.71
Cassava,100000,591,18.42
Maize,54553,591,17.71
Maize,54553,591,18.42
Potatoes,283768,591,17.71
Potatoes,283768,591,18.42
Rice,57495,591,17.71
Rice,57495,591,18.42
Sorghum,47429,591,17.71
Sorghum,47429,591,18.42
Soybeans,25846,591,17.71
Soybeans,25846,591,18.42
Spotatoes,155212,591,17.71
Spotatoes,155212,591,18.42
Wheat,24934,591,17.71
Wheat,24934,591,18.42
Cassava,100000,591,17.58
Cassava,100000,591,18.07
Maize,60791,591,17.58
Maize,60791,591,18.07
Potatoes,251347,591,17.58
Potatoes,251347,591,18.07
Rice,57197,591,17.58
Rice,57197,591,18.07
Sorghum,52691,591,17.58
Sorghum,52691,591,18.07
Soybeans,26304,591,17.58
Soybeans,26304,591,18.07
Spotatoes,155890,591,17.58
Spotatoes,155890,591,18.07
Wheat,22398,591,17.58
Wheat,22398,591,18.07
Cassava,100000,591,17.67
Cassava,100000,591,18.11
Maize,63931,591,17.67
Maize,63931,591,18.11
Potatoes,288717,591,17.67
Potatoes,288717,591,18.11
Rice,62661,591,17.67
Rice,62661,591,18.11
Sorghum,45531,591,17.67
Sorghum,45531,591,18.11
Soybeans,22075,591,17.67
Soybeans,22075,591,18.11
Spotatoes,154867,591,17.67
Spotatoes,154867,591,18.11
Wheat,25441,591,17.67
Wheat,25441,591,18.11
Cassava,100000,591,17.32
Cassava,100000,591,17.83
Maize,73587,591,17.32
Maize,73587,591,17.83
Potatoes,283917,591,17.32
Potatoes,283917,591,17.83
Rice,60165,591,17.32
Rice,60165,591,17.83
Sorghum,51872,591,17.32
Sorghum,51872,591,17.83
Soybeans,27287,591,17.32
Soybeans,27287,591,17.83
Spotatoes,154472,591,17.32
Spotatoes,154472,591,17.83
Wheat,26356,591,17.32
Wheat,26356,591,17.83
Cassava,100000,591,18.1
Cassava,100000,591,18.35
Maize,59030,591,18.1
Maize,59030,591,18.35
Potatoes,285828,591,18.1
Potatoes,285828,591,18.35
Rice,70610,591,18.1
Rice,70610,591,18.35
Sorghum,46778,591,18.1
Sorghum,46778,591,18.35
Soybeans,26793,591,18.1
Soybeans,26793,591,18.35
Spotatoes,143478,591,18.1
Spotatoes,143478,591,18.35
Wheat,25302,591,18.1
Wheat,25302,591,18.35
Cassava,100000,591,16.71
Cassava,100000,591,17.14
Maize,76655,591,16.71
Maize,76655,591,17.14
Potatoes,286765,591,16.71
Potatoes,286765,591,17.14
Rice,65604,591,16.71
Rice,65604,591,17.14
Sorghum,47021,591,16.71
Sorghum,47021,591,17.14
Soybeans,29712,591,16.71
Soybeans,29712,591,17.14
Spotatoes,141667,591,16.71
Spotatoes,141667,591,17.14
Wheat,26234,591,16.71
Wheat,26234,591,17.14
Cassava,100000,591,17.71
Cassava,100000,591,18.39
Maize,64525,591,17.71
Maize,64525,591,18.39
Potatoes,279412,591,17.71
Potatoes,279412,591,18.39
Rice,68278,591,17.71
Rice,68278,591,18.39
Sorghum,47474,591,17.71
Sorghum,47474,591,18.39
Soybeans,28216,591,17.71
Soybeans,28216,591,18.39
Spotatoes,145105,591,17.71
Spotatoes,145105,591,18.39
Wheat,28271,591,17.71
Wheat,28271,591,18.39
Cassava,101695,591,18.16
Cassava,101695,591,18.09
Maize,55760,591,18.16
Maize,55760,591,18.09
Potatoes,284439,591,18.16
Potatoes,284439,591,18.09
Rice,68842,591,18.16
Rice,68842,591,18.09
Sorghum,38752,591,18.16
Sorghum,38752,591,18.09
Soybeans,18480,591,18.16
Soybeans,18480,591,18.09
Spotatoes,151208,591,18.16
Spotatoes,151208,591,18.09
Wheat,19628,591,18.16
Wheat,19628,591,18.09
Cassava,101000,591,17.33
Cassava,101000,591,17.84
Maize,78040,591,17.33
Maize,78040,591,17.84
Potatoes,289849,591,17.33
Potatoes,289849,591,17.84
Rice,57646,591,17.33
Rice,57646,591,17.84
Sorghum,48163,591,17.33
Sorghum,48163,591,17.84
Soybeans,29053,591,17.33
Soybeans,29053,591,17.84
Spotatoes,149382,591,17.33
Spotatoes,149382,591,17.84
Wheat,27113,591,17.33
Wheat,27113,591,17.84
Cassava,100000,591,17.58
Cassava,100000,591,17.93
Maize,63503,591,17.58
Maize,63503,591,17.93
Potatoes,286657,591,17.58
Potatoes,286657,591,17.93
Rice,67901,591,17.58
Rice,67901,591,17.93
Sorghum,44029,591,17.58
Sorghum,44029,591,17.93
Soybeans,26053,591,17.58
Soybeans,26053,591,17.93
Spotatoes,148754,591,17.58
Spotatoes,148754,591,17.93
Wheat,35063,591,17.58
Wheat,35063,591,17.93
Cassava,100000,591,18.18
Cassava,100000,591,18.43
Maize,57346,591,18.18
Maize,57346,591,18.43
Potatoes,287821,591,18.18
Potatoes,287821,591,18.43
Rice,66617,591,18.18
Rice,66617,591,18.43
Sorghum,46534,591,18.18
Sorghum,46534,591,18.43
Soybeans,22814,591,18.18
Soybeans,22814,591,18.43
Spotatoes,148126,591,18.18
Spotatoes,148126,591,18.43
Wheat,32199,591,18.18
Wheat,32199,591,18.43
Cassava,99459,591,16.45
Cassava,99459,591,16.88
Maize,66037,591,16.45
Maize,66037,591,16.88
Potatoes,288984,591,16.45
Potatoes,288984,591,16.88
Rice,67187,591,16.45
Rice,67187,591,16.88
Sorghum,40852,591,16.45
Sorghum,40852,591,16.88
Soybeans,25391,591,16.45
Soybeans,25391,591,16.88
Spotatoes,147498,591,16.45
Spotatoes,147498,591,16.88
Wheat,26581,591,16.45
Wheat,26581,591,16.88
Maize,32344,562,7.44
Potatoes,111301,562,7.44
Wheat,21600,562,7.44
Maize,32261,562,7.69
Potatoes,134416,562,7.69
Wheat,22257,562,7.69
Maize,32667,562,8.84
Potatoes,131195,562,8.84
Wheat,17842,562,8.84
Maize,18261,562,9.76
Potatoes,131196,562,9.76
Wheat,25480,562,9.76
Maize,22239,562,9.55
Potatoes,129626,562,9.55
Wheat,23569,562,9.55
Maize,45548,562,9.1
Potatoes,109362,562,9.1
Wheat,17009,562,9.1
Maize,26082,562,10.28
Potatoes,134409,562,10.28
Wheat,20651,562,10.28
Maize,40303,562,10.11
Potatoes,130618,562,10.11
Wheat,19466,562,10.11
Maize,23178,562,9.68
Potatoes,87349,562,9.68
Wheat,16679,562,9.68
Maize,37913,562,10.18
Potatoes,114619,562,10.18
Wheat,22263,562,10.18
Maize,37380,562,9.41
Potatoes,122814,562,9.41
Wheat,23877,562,9.41
Maize,61791,562,9.55
Potatoes,161509,562,9.55
Wheat,23416,562,9.55
Maize,44692,562,9.58
Potatoes,164459,562,9.58
Wheat,20252,562,9.58
Maize,33271,562,9.89
Potatoes,163418,562,9.89
Wheat,14627,562,9.89
Maize,53262,562,9.44
Potatoes,184719,562,9.44
Wheat,25837,562,9.44
Maize,53424,562,9.51
Potatoes,189096,562,9.51
Wheat,24322,562,9.51
Maize,57763,562,9.67
Potatoes,185496,562,9.67
Wheat,22374,562,9.67
Maize,46724,562,11.31
Potatoes,170146,562,11.31
Wheat,21192,562,11.31
Maize,54257,562,8.93
Potatoes,194426,562,8.93
Wheat,28800,562,8.93
Maize,62215,562,10.2
Potatoes,207151,562,10.2
Wheat,26010,562,10.2
Maize,67114,562,11.08
Potatoes,215290,562,11.08
Wheat,31273,562,11.08
Maize,41821,534,16.8
Maize,41821,534,20.06
Maize,41821,534,12.11
Maize,41821,534,14.16
Maize,41821,534,18.05
Maize,41821,534,17.47
Potatoes,289832,534,16.8
Potatoes,289832,534,20.06
Potatoes,289832,534,12.11
Potatoes,289832,534,14.16
Potatoes,289832,534,18.05
Potatoes,289832,534,17.47
Rice,88000,534,16.8
Rice,88000,534,20.06
Rice,88000,534,12.11
Rice,88000,534,14.16
Rice,88000,534,18.05
Rice,88000,534,17.47
Sorghum,24883,534,16.8
Sorghum,24883,534,20.06
Sorghum,24883,534,12.11
Sorghum,24883,534,14.16
Sorghum,24883,534,18.05
Sorghum,24883,534,17.47
Soybeans,15718,534,16.8
Soybeans,15718,534,20.06
Soybeans,15718,534,12.11
Soybeans,15718,534,14.16
Soybeans,15718,534,18.05
Soybeans,15718,534,17.47
Spotatoes,137140,534,16.8
Spotatoes,137140,534,20.06
Spotatoes,137140,534,12.11
Spotatoes,137140,534,14.16
Spotatoes,137140,534,18.05
Spotatoes,137140,534,17.47
Wheat,16344,534,16.8
Wheat,16344,534,20.06
Wheat,16344,534,12.11
Wheat,16344,534,14.16
Wheat,16344,534,18.05
Wheat,16344,534,17.47
Maize,39938,534,16.78
Maize,39938,534,20.29
Maize,39938,534,12.22
Maize,39938,534,13.77
Maize,39938,534,18.73
Maize,39938,534,17.85
Potatoes,285359,534,16.78
Potatoes,285359,534,20.29
Potatoes,285359,534,12.22
Potatoes,285359,534,13.77
Potatoes,285359,534,18.73
Potatoes,285359,534,17.85
Rice,88427,534,16.78
Rice,88427,534,20.29
Rice,88427,534,12.22
Rice,88427,534,13.77
Rice,88427,534,18.73
Rice,88427,534,17.85
Sorghum,19865,534,16.78
Sorghum,19865,534,20.29
Sorghum,19865,534,12.22
Sorghum,19865,534,13.77
Sorghum,19865,534,18.73
Sorghum,19865,534,17.85
Soybeans,15551,534,16.78
Soybeans,15551,534,20.29
Soybeans,15551,534,12.22
Soybeans,15551,534,13.77
Soybeans,15551,534,18.73
Soybeans,15551,534,17.85
Spotatoes,151142,534,16.78
Spotatoes,151142,534,20.29
Spotatoes,151142,534,12.22
Spotatoes,151142,534,13.77
Spotatoes,151142,534,18.73
Spotatoes,151142,534,17.85
Wheat,14698,534,16.78
Wheat,14698,534,20.29
Wheat,14698,534,12.22
Wheat,14698,534,13.77
Wheat,14698,534,18.73
Wheat,14698,534,17.85
Maize,51721,534,15.78
Maize,51721,534,19.79
Maize,51721,534,11.21
Maize,51721,534,13.31
Maize,51721,534,18.45
Maize,51721,534,16.89
Potatoes,289220,534,15.78
Potatoes,289220,534,19.79
Potatoes,289220,534,11.21
Potatoes,289220,534,13.31
Potatoes,289220,534,18.45
Potatoes,289220,534,16.89
Rice,88346,534,15.78
Rice,88346,534,19.79
Rice,88346,534,11.21
Rice,88346,534,13.31
Rice,88346,534,18.45
Rice,88346,534,16.89
Sorghum,25431,534,15.78
Sorghum,25431,534,19.79
Sorghum,25431,534,11.21
Sorghum,25431,534,13.31
Sorghum,25431,534,18.45
Sorghum,25431,534,16.89
Soybeans,21141,534,15.78
Soybeans,21141,534,19.79
Soybeans,21141,534,11.21
Soybeans,21141,534,13.31
Soybeans,21141,534,18.45
Soybeans,21141,534,16.89
Spotatoes,127548,534,15.78
Spotatoes,127548,534,19.79
Spotatoes,127548,534,11.21
Spotatoes,127548,534,13.31
Spotatoes,127548,534,18.45
Spotatoes,127548,534,16.89
Wheat,17812,534,15.78
Wheat,17812,534,19.79
Wheat,17812,534,11.21
Wheat,17812,534,13.31
Wheat,17812,534,18.45
Wheat,17812,534,16.89
Maize,44261,534,16.71
Maize,44261,534,20.19
Maize,44261,534,11.84
Maize,44261,534,13.81
Maize,44261,534,18.03
Maize,44261,534,17.42
Potatoes,290981,534,16.71
Potatoes,290981,534,20.19
Potatoes,290981,534,11.84
Potatoes,290981,534,13.81
Potatoes,290981,534,18.03
Potatoes,290981,534,17.42
Rice,76400,534,16.71
Rice,76400,534,20.19
Rice,76400,534,11.84
Rice,76400,534,13.81
Rice,76400,534,18.03
Rice,76400,534,17.42
Sorghum,12834,534,16.71
Sorghum,12834,534,20.19
Sorghum,12834,534,11.84
Sorghum,12834,534,13.81
Sorghum,12834,534,18.03
Sorghum,12834,534,17.42
Soybeans,16168,534,16.71
Soybeans,16168,534,20.19
Soybeans,16168,534,11.84
